site name,Reservation,Community type,%unvegetated,%open water,%unvegetated open water,%bare ground,Deer Browse Ratings
1002,8,34,0.020014196,0,0,0.02,4
1003,10,5,0.000155755,0,0,0.0001,4
1004,1,9,0.171370216,0.005,0.005,0.015,4
1005,8,8,0.079672752,0,0,0.075,1
1006,3,15,2.16469E-05,0,0,0,6
1008,16,9,0.307515327,0.005,0.005,0.3025,5
1009,8,9,0.006574395,0,0,0.005,2
1010,13,9,0.001733723,0,0,0.0001,5
1011,1,33,0.027644914,0,0,0,2
1012,11,6,0,0,0,0,4
1013,4,5,0.045080116,0,0.04,0.00505,5
1014,10,41,0.027496888,0,0,0.015,5
1015,1,37,5.04058E-05,0,0,0,6
1016,14,33,0.005558499,0,0,0,3
1017,11,1,0.017592468,0,0,0,3
1018,8,9,0.032013299,0,0,0.015,5
1019,10,7,0.130069319,0,0,0.13,5
1021,8,6,0.024984405,0,0,0.015,3
1022,13,8,0.000118365,0,0,0.0001,5
1024,2,5,0.013775,0,0,0.013775,5
1025,4,2,8.57133E-05,0,0,0,5
1026,13,36,0,0,0,0,6
1028,11,5,0.096818645,0,0,0.095,5
1029,4,25,5.66476E-05,0,0,0,5
1030,13,8,0.275,0,0,0.275,6
1031,1,8,0.028365001,0,0,0.028333333,5
1033,11,5,0.000126735,0,0,0.0001,4
1034,8,8,0.003425337,0,0,0.0001,4
1035,10,8,0.003446716,0,0,0.00255,3
1038,13,5,0.11,0,0,0.11,5
1039,10,9,0.002735829,0,0,0,3
1040,11,13,0.110819892,0,0,0.1075,4
1041,4,6,0.034287856,0,0,0.031,4
1043,4,11,0.014732726,0,0,0,2
1044,11,8,0.0067,0,0,0.0067,6
1045,4,8,0.005023172,0,0,0.005,3
1046,2,20,0.004470739,0,0,0,5
1047,1,5,0.006338917,0,0,0.005,3
1048,14,5,0.000871916,0,0,0,4
1050,3,8,0.141685725,0,0,0.141666667,4
1051,10,5,0,0,0,0,6
1052,12,10,0.251625719,0,0,0.0001,5
1053,8,9,0.003869483,0,0.0001,0.0001,5
1054,13,8,0.002334577,0,0,0.0001,3
1055,14,36,0.000111211,0,0,0.0001,4
1057,4,5,0.116887988,0,0,0.01,4
1058,13,10,0.189953066,0,0,0.18755,3
1059,1,39,0.268527862,0,0,0.005,3
1060,14,5,0.005,0,0,0.005,4
1061,4,2,0.000953503,0,0,0,5
1063,1,31,0.011456479,0,0,0,7
1064,14,7,0.02001318,0,0,0.02,6
1065,11,16,0.007782774,0,0,0,4
1066,8,6,0.005012884,0,0,0.005,3
1067,10,8,0.0575,0,0,0.0575,5
1068,1,8,0.002367933,0,0,0,4
1069,8,9,0.006868971,0.0001,0.0001,0,3
1070,3,8,0.0001,0,0,0.0001,4
1071,10,9,0.013982755,0,0,0,4
1072,16,37,0.001034744,0,0,0,6
1073,8,41,0.059784492,0,0,0,4
1074,13,6,0.625050625,0,0,0.625,1
1075,14,8,0.180367137,0,0,0.175,4
1076,11,13,0.149957394,0,0,0,3
1077,4,5,0.006637712,0,0,0.005,3
1078,2,14,0.015015138,0,0,0.015,5
1080,14,8,0.000787122,0,0,0,5
1081,11,5,0.035,0,0,0.035,3
1082,8,8,0.005604195,0,0,0.005,3
1083,10,8,0.4,0,0,0.4,5
1086,13,10,0.031371653,0,0,0.0267,5
1087,10,5,0.058223199,0,0,0.0575,3
1088,5,31,0.031354167,0,0,0,7
1089,4,5,0.063135362,0,0,0.055,3
1090,13,5,0.005,0,0,0.005,5
1091,1,5,0.100032089,0,0,0.1,6
1092,11,2,0.175,0,0,0.175,5
1093,4,8,0.002569111,0,0,0.00255,5
1094,13,8,0.1900757,0,0,0.19,5
1097,11,5,0.003610798,0,0,0.00255,3
1098,8,8,0.057919712,0,0,0.050033333,4
1099,10,8,0.015121154,0,0,0.011275,4
1100,11,36,1.76763E-05,0,0,0,3
3362,4,8,0.076010061,0,0,0.075,4
3364,14,5,0.006395256,0,0,0.006275,5
3365,10,5,0.015,0,0,0.015,4
3367,13,9,0.128100986,0,0,0.125,3
3368,1,13,0.020475727,0,0,0.0175,4
3369,11,5,0.000874508,0,0,0,5
3370,8,5,0.127507776,0,0,0.125,1
3376,6,7,0.005,0,0,0.005,3
3377,14,11,0.002214478,0,0,0,1
3380,1,33,2.62309E-05,0,0,0,7
3381,10,9,0.29632981,0.1,0.1,0.14,3
3385,11,3,0.141666667,0,0,0.141666667,4
3386,8,6,0.045,0,0,0.045,5
3389,14,10,1.05549E-05,0,0,0,4
3396,1,8,0.008791618,0,0,0.008775,6
3409,11,36,0,0,0,0,1
3420,16,8,0.045,0,0,0.045,3
3484,16,8,0,0,0,0,6
3596,16,2,0.096060776,0,0,0.095,6
3668,16,9,0.010025382,0,0,0.01,5
3732,16,2,0.105,0,0,0.105,6
3980,15,35,0.035,0,0,0.035,7
1101,8,40,0.012053994,0,0,0,3
1102,13,8,0.120719818,0,0,0.12,4
1103,10,8,0.262540922,0,0,0.2625,3
1104,11,9,0.010502597,0,0,0.01,5
1105,4,1,0.002608197,0,0,0.00255,4
1106,13,31,0.098922793,0,0,0.096275,5
1107,1,28,0.042424242,0,0,0,7
1108,14,20,0.040047712,0,0,0.04,4
1110,13,9,2.78377E-05,0,0,0,1
1111,1,37,0.002606121,0,0,0.00255,5
1112,14,9,0.182689825,0,0.065,0.0075,4
1113,11,8,0.005814865,0,0,0.00505,3
1114,3,5,0.000830878,0,0,0,3
1115,10,8,0.000125341,0,0,0.0001,2
1116,12,41,0.170706652,0,0,0.105,1
1117,8,5,0.000136441,0,0,0.0001,1
1119,14,31,1.70404E-05,0,0,0,3
1122,2,8,0.175019559,0,0,0.175,4
1123,1,39,0.263201891,0,0,0,5
1124,14,8,0.001762406,0,0,0.001733333,5
1125,4,36,0.028803792,0,0,0.025,3
1126,10,38,0.270088629,0,0,0.27,3
1127,1,3,0.0001,0,0,0.0001,3
1128,14,7,0.006079536,0,0,0.00255,1
1129,11,5,0.007944368,0,0,0.0001,1
1131,10,8,0.00755491,0,0,0.0075,4
1132,1,8,0.006181353,0,0,0.0001,2
1133,8,31,0.01374785,0,0,0,1
1134,3,37,0.049108569,0,0,0.046275,3
1135,10,38,0.007680468,0,0,0.0067,3
1136,16,2,0.005020447,0,0,0.005,6
1140,11,5,0.001771578,0,0,0.001733333,2
1143,1,8,0.0001,0,0,0.0001,4
