plot,year,tree.cover,densiometer.mn
1002,2010,98,5.5
1003,2010,95,6.63
1004,2010,68,13.08
1005,2010,98,6.63
1006,2010,98,1.19
1008,2010,93,4.69
1009,2010,90,11.81
1010,2010,88,3.44
1012,2010,73,4.56
1013,2010,98,2.06
1014,2010,8,50.38
1015,2010,95,5.13
1017,2010,78,7.94
1018,2010,98,0.13
1019,2010,98,3.31
1021,2010,73,0.31
1022,2010,98,3.56
1024,2010,58,1.25
1025,2010,93,5.31
1026,2010,93,14
1028,2010,93,10.5
1030,2010,88,7.81
1031,2010,88,7.13
1033,2010,98,0.63
1034,2010,63,3.38
1035,2010,88,10.25
1038,2010,98,4.44
1039,2010,68,10.13
1040,2010,98,1.06
1041,2010,88,10.31
1043,2010,88,10.13
1044,2010,98,3.19
1045,2010,98,8.44
1047,2010,93,9.38
1048,2010,98,1.56
1050,2010,98,5.06
1051,2010,100,1.63
1052,2010,98,1
1053,2010,95,3.19
1054,2010,83,3.81
1055,2010,73,7
1057,2010,98,10.44
1058,2010,68,2.88
1060,2010,93,0.75
1061,2010,98,6.31
1064,2010,98,1.38
1065,2010,48,35.56
1066,2010,98,6.31
1067,2010,88,11.56
1068,2010,88,9.56
1069,2010,90,4.81
1070,2010,98,8.63
1071,2010,88,11.19
1072,2010,80,13.31
1073,2010,45,44.06
1074,2010,98,6.5
1075,2010,88,3.25
1077,2010,98,4.13
1080,2010,93,3.56
1081,2010,93,5.94
1082,2010,88,6.25
1083,2010,98,5.81
1086,2010,88,5.94
1087,2010,98,0.19
1089,2010,98,7.81
1090,2010,98,5.06
1091,2010,100,1.44
1092,2010,98,5.81
1093,2010,98,7
1094,2010,88,6.44
1097,2010,98,1.31
1098,2010,88,11.63
1099,2010,98,12.13
1100,2010,83,4.25
1136,2010,98,0.69
1376,2010,90,9.56
1388,2010,98,6.56
3362,2010,98,3.38
3364,2010,98,6.69
3365,2010,93,0.44
3367,2010,43,3.56
3368,2010,98,2.63
3369,2010,98,1.63
3370,2010,98,4.81
3376,2010,98,6.88
3377,2010,68,12.25
3381,2010,93,1.69
3385,2010,68,7.92
3386,2010,98,5.69
3389,2010,83,17.31
3396,2010,98,7.31
3409,2010,98,3.88
3420,2010,90,6.38
3484,2010,95,2.06
3596,2010,95,11.75
3668,2010,98,0.69
3732,2010,100,0.56
3980,2010,73,13.5
1101,2011,18,31.25
1102,2011,98,1.44
1103,2011,88,6
1104,2011,63,2.69
1105,2011,88,2.06
1110,2011,98,2.25
1111,2011,98,1.81
1112,2011,93,0.94
1113,2011,98,1.88
1114,2011,83,2.88
1115,2011,98,1.94
1116,2011,0,6.75
1117,2011,98,1.19
1122,2011,93,4.06
1124,2011,83,7.06
1125,2011,98,2.06
1126,2011,98,5
1127,2011,83,2.06
1128,2011,98,1.31
1129,2011,98,1.56
1131,2011,98,1.75
1132,2011,98,1.5
1134,2011,93,1.69
1135,2011,98,2.44
1140,2011,98,1.38
1141,2011,88,5.25
1143,2011,98,1.38
1144,2011,98,1.06
1145,2011,93,0.88
1146,2011,98,1.25
1147,2011,98,2.19
1148,2011,98,0.06
1149,2011,93,1.31
1150,2011,98,3.81
1151,2011,,0.94
1153,2011,88,1.75
1154,2011,63,2.69
1155,2011,98,1.75
1156,2011,83,2.38
1157,2011,93,1.94
1159,2011,93,1.13
1161,2011,98,0.94
1164,2011,88,2.88
1166,2011,83,3.13
1167,2011,88,1.75
1168,2011,53,8.63
1169,2011,98,2
1171,2011,83,1.81
1173,2011,83,3.44
1174,2011,88,3.75
1175,2011,93,1.31
1176,2011,98,0.81
1177,2011,98,2.13
1178,2011,98,5.44
1179,2011,48,9.31
1180,2011,93,2.25
1182,2011,98,0.38
1183,2011,83,1.19
1184,2011,93,2.88
1187,2011,88,3.56
1189,2011,83,1.31
1190,2011,83,8.19
1191,2011,88,1.81
1192,2011,88,1.5
1194,2011,68,1.56
1195,2011,88,3.13
1196,2011,93,1.94
1197,2011,93,1
1198,2011,98,0.75
1199,2011,93,0.56
1200,2011,93,3.19
3372,2011,93,1.56
3374,2011,98,1.44
3378,2011,93,4
3382,2011,93,3.69
3387,2011,48,11
3394,2011,83,5.5
3400,2011,98,1.88
3406,2011,98,0.38
3411,2011,88,0.75
3413,2011,98,0.19
3415,2011,98,1.56
3417,2011,98,0.38
3425,2011,83,1.31
3435,2011,88,4.88
3459,2011,53,12.38
