plot,month,year,SPCODE,species.name,cover.mn
1101,June,2011,ACERUB,Acer_rubrum,0.005
1101,June,2011,ACESAR,Acer_saccharum,22.75
1101,June,2011,AGRIMO,Agrimonia_sp.,0.005
1101,June,2011,ALLPET,ALLIARIA_PETIOLATA,2.25
1101,June,2011,ALLTRI,Allium_tricoccum,0.3775
1101,June,2011,ANTODO,ANTHOXANTHUM_ODORATUM,0.125
1101,June,2011,ARITRIT,Arisaema_triphyllum_subsp._triphyllum,1
1101,June,2011,ASTER,Aster_sp.,0.0025
1101,June,2011,ASTER,Aster_sp.,0.0025
1101,June,2011,BLEHIR,Blephilia_hirsuta,1.25
1101,June,2011,CXALBU,Carex_albursina,0.1275
1101,June,2011,CXBLAN,Carex_blanda,0.255
1101,June,2011,CXCPHLA,Carex_cephalophora,0.1275
1101,June,2011,CXDIGI,Carex_digitalis,0.005
1101,June,2011,CXROSE,Carex_rosea,0.3775
1101,June,2011,CXSPAR,Carex_sparganioides,0.125
1101,June,2011,CARCOR,Carya_cordiformis,0.125
1101,June,2011,CAUTHA,Caulophyllum_thalictroides,2.25
1101,June,2011,CIMRAC,Cimicifuga_racemosa,0.5025
1101,June,2011,CIRLUT,Circaea_lutetiana,0.75
1101,June,2011,CLEVIR,Clematis_virginiana,1.375
1101,June,2011,COLCAN,Collinsonia_canadensis,0.0025
1101,June,2011,DACGLO,DACTYLIS_GLOMERATA,0.1275
1101,June,2011,DRYCAR,Dryopteris_carthusiana,0.2525
1101,June,2011,FAGGRA,Fagus_grandifolia,0.005
1101,June,2011,FESSUB,Festuca_subverticillata,0.0025
1101,June,2011,FRAAME,Fraxinus_americana,1.125
1101,June,2011,FRAPEN,Fraxinus_pennsylvanica,0.5
1101,June,2011,FRAXIN,Fraxinus_sp.,0.005
1101,June,2011,GALTFL,Galium_triflorum,3
1101,June,2011,GERMAC,Geranium_maculatum,0.0025
1101,June,2011,GEUCAN,Geum_canadense,1.25
1101,June,2011,GLYSTR,Glyceria_striata,0.25
1101,June,2011,HESMAT,HESPERIS_MATRONALIS,0.125
1101,June,2011,HDRCAN,Hydrastis_canadensis,0.005
1101,June,2011,HYPPUN,Hypericum_punctatum,0.125
1101,June,2011,IMPPAL,Impatiens_pallida,1.75
1101,June,2011,JUNTEN,Juncus_tenuis,0.0025
1101,June,2011,LAMIACE,Lamiaceae_sp,0.125
1101,June,2011,LAPCAN,Laportea_canadensis,0.125
1101,June,2011,LEEVIR,Leersia_virginica,0.25
1101,June,2011,LINBEN,Lindera_benzoin,0.875
1101,June,2011,LIRTUL,Liriodendron_tulipifera,4.875
1101,June,2011,LONMAA,LONICERA_MAACKII,0.0025
1101,June,2011,LONMOR,Lonicera_morrowii,0.3775
1101,June,2011,MAIRAC,Maianthemum_racemosum,0.005
1101,June,2011,MOSS,Moss_sp.,1
1101,June,2011,OXASTR,Oxalis_stricta,0.505
1101,June,2011,PARQUI,Parthenocissus_quinquefolia,0.3775
1101,June,2011,PHYAME,Phytolacca_americana,0.13
1101,June,2011,PILEA,Pilea_sp.,0.0025
1101,June,2011,POAALS,Poa_alsodes,0.1275
1101,June,2011,POAPRA,Poa_pratensis,0.0075
1101,June,2011,POATRI,Poa_trivialis,0.75
1101,June,2011,PODPEL,Podophyllum_peltatum,0.3775
1101,June,2011,POLPUB,Polygonatum_pubescens,0.0025
1101,June,2011,PLGVIR,Polygonum_virginianum,6
1101,June,2011,POLACR,Polystichum_acrostichoides,0.005
1101,June,2011,PRUSER,Prunus_serotina,0.375
1101,June,2011,QUERCU,Quercus_sp.,0.005
1101,June,2011,RHUTYP,Rhus_typhina,2
1101,June,2011,ROSMUL,ROSA_MULTIFLORA,0.625
1101,June,2011,RUBALL,Rubus_allegheniensis,47.75
1101,June,2011,RUBOCC,Rubus_occidentalis,2.125
1101,June,2011,SAMPUB,Sambucus_pubens,1
1101,June,2011,SANCAN,Sanguinaria_canadensis,0.005
1101,June,2011,SOLCAN,Solidago_canadensis,0.0025
1101,June,2011,TRLGRA,Trillium_grandiflorum,0.0025
1101,June,2011,ULMUS,Ulmus_sp.,0.0025
1101,June,2011,NA,UNKNOWN_MONOCOT,0.125
1101,June,2011,VERURT,Verbena_urticifolia,0.375
1101,June,2011,VERSER,VERONICA_SERPYLLIFOLIA,0.0025
1101,June,2011,VIOPUB,Viola_pubescens,1.5
1101,June,2011,VIOSOR,Viola_sororia,0.005
1101,June,2011,VITAES,Vitis_aestivalis,31.25
1102,June,2011,ACENEG,Acer_negundo,1
1102,June,2011,ACESAR,Acer_saccharum,73.125
1102,June,2011,ALLPET,ALLIARIA_PETIOLATA,0.1325
1102,June,2011,ARCTIUM,Arctium_sp.,0.005
1102,June,2011,ARITRIT,Arisaema_triphyllum_subsp._triphyllum,1
1102,June,2011,ASTER,Aster_sp.,0.13
1102,June,2011,CXBLAN,Carex_blanda,0.125
1102,June,2011,CXCPHLA,Carex_cephalophora,0.125
1102,June,2011,CXROSE,Carex_rosea,0.375
1102,June,2011,CAREX,Carex_sp.,0.0025
1102,June,2011,CARCOR,Carya_cordiformis,24
1102,June,2011,CIRLUT,Circaea_lutetiana,0.375
1102,June,2011,CONAME,Conopholis_americana,0.125
1102,June,2011,CRATAE,Crataegus_sp.,0.0025
1102,June,2011,EPILOB,Epilobium_sp.,0.005
1102,June,2011,EPIHEL,EPIPACTIS_HELLEBORINE,0.005
1102,June,2011,EUPRUG,Eupatorium_rugosum,0.0025
1102,June,2011,FAGGRA,Fagus_grandifolia,0.25
1102,June,2011,FRAXIN,Fraxinus_sp.,0.5
1102,June,2011,GEUCAN,Geum_canadense,0.125
1102,June,2011,GLYSTR,Glyceria_striata,0.375
1102,June,2011,JUNTEN,Juncus_tenuis,0.125
1102,June,2011,LEEVIR,Leersia_virginica,0.0025
1102,June,2011,LIGVUL,LIGUSTRUM_VULGARE,0.0025
1102,June,2011,LIRTUL,Liriodendron_tulipifera,0.0025
1102,June,2011,LONJAP,LONICERA_JAPONICA,0.875
1102,June,2011,LONICE,Lonicera_sp.,0.005
1102,June,2011,MOSS,Moss_sp.,1.1275
1102,June,2011,OXASTR,Oxalis_stricta,0.0075
1102,June,2011,PARQUI,Parthenocissus_quinquefolia,0.25
1102,June,2011,POATRI,Poa_trivialis,0.125
1102,June,2011,PODPEL,Podophyllum_peltatum,0.0025
1102,June,2011,POLPUB,Polygonatum_pubescens,0.1275
1102,June,2011,PLGVIR,Polygonum_virginianum,0.0025
1102,June,2011,POTSIM,Potentilla_simplex,0.125
1102,June,2011,PRENAN,Prenanthes_sp.,0.005
1102,June,2011,PRUSER,Prunus_serotina,18.875
1102,June,2011,QUEALB,Quercus_alba,4.375
1102,June,2011,QUECOC,Quercus_coccinea,4.75
1102,June,2011,QUEPAL,Quercus_palustris,20.375
1102,June,2011,QUERUB,Quercus_rubra,0.875
1102,June,2011,QUERCU,Quercus_sp.,0.5
1102,June,2011,QUERCU,Quercus_sp.,0.0025
1102,June,2011,QUEVEL,Quercus_velutina,9.375
1102,June,2011,RANFIC,Ranunculus_ficaria,0.255
1102,June,2011,ROBPSE,Robinia_pseudoacacia,0.005
1102,June,2011,ROSMUL,ROSA_MULTIFLORA,0.1275
