plot,long,lat,aspect,slope
1002,-81.724179,41.206452,294.4850159,3.34848881
1003,-81.836767,41.347586,168.5218964,3.33731389
1004,-81.556337,41.381564,187.7596436,12.65739918
1005,-81.687648,41.256463,223.1603394,3.7842648
1006,-81.959078,41.408758,233.1405945,0.16696724
1007,-81.785228,41.308337,88.75033569,5.48780727
1008,-81.69258,41.369101,300.96521,6.97989511
1009,-81.708681,41.221348,19.66820526,11.21742344
1010,-81.898016,41.403332,293.7297974,0.31673208
1011,-81.505242,41.37314,256.1800537,7.68730593
1012,-81.422232,41.565368,112.3511124,3.15701103
1013,-81.690296,41.300936,314.255188,4.92092085
1014,-81.833202,41.345979,260.4425049,22.01066589
1015,-81.55991,41.381597,258.2019043,2.6772418
1016,-81.413602,41.435316,183.5327911,10.09988499
1017,-81.432606,41.570337,138.5295258,2.26784945
1018,-81.702571,41.212143,92.58169556,1.59114313
1019,-81.801251,41.292114,36.12084198,1.97066355
1020,-81.537218,41.387043,341.5650635,1.08682585
1021,-81.732038,41.220495,175.7122955,3.44310451
1022,-81.831905,41.468175,349.519104,19.97392845
1023,-81.766369,41.302365,65.84199524,0.51240844
1024,-81.753365,41.41374,218.859375,9.67124939
1025,-81.601642,41.310507,140.6507874,3.41106701
1026,-81.889362,41.403074,23.89057159,0.65435761
1027,-81.480076,41.384445,290.9778748,11.19253254
1028,-81.428632,41.555195,98.54032898,11.95304871
1029,-81.566183,41.283721,285.0187378,4.07161093
1030,-81.833389,41.450114,96.57171631,34.09538269
1031,-81.569409,41.373743,299.1809692,21.40839386
1032,-81.407631,41.447061,88.43982697,7.61789846
1033,-81.419725,41.580313,84.14185333,5.48860455
1034,-81.693375,41.210612,249.1051025,4.20887566
1035,-81.82889,41.330414,291.0401001,0.41730338
1036,-81.535346,41.564006,63.27721405,35.7599678
1037,-81.689705,41.216488,108.9760208,4.79014158
1038,-81.821247,41.452999,323.3911133,32.36343002
1039,-81.781649,41.303063,77.94512939,1.57612062
1040,-81.437336,41.572521,73.95248413,5.46726036
1041,-81.604534,41.306299,65.60783386,20.67308426
1042,-81.853047,41.430885,157.7958069,23.35848618
1043,-81.595668,41.349129,27.01345444,6.0713501
1044,-81.412848,41.561525,233.5655212,1.86557937
1045,-81.585528,41.298469,24.53892517,16.62636757
1046,-81.838763,41.378421,177.692627,1.32250726
1047,-81.551583,41.373166,292.1468506,22.80548096
1048,-81.413345,41.413311,353.8502502,4.61386919
1050,-81.944948,41.419779,266.5055542,1.63276958
1051,-81.804343,41.30568,353.3986816,2.4633944
1052,-81.644474,41.418326,43.68690109,11.85626507
1053,-81.704497,41.215855,323.2101135,8.17186069
1054,-81.858643,41.419301,28.61825562,1.26615775
1055,-81.473119,41.410823,317.2077637,4.34443092
1056,-81.418585,41.548365,106.5777512,52.49167252
1057,-81.607454,41.317814,240.9503479,2.12607026
1058,-81.855146,41.424994,283.4992981,0.72463566
1059,-81.571077,41.352054,271.7175293,2.49129581
1060,-81.425297,41.423479,23.82507324,17.91116714
1061,-81.59693,41.30463,318.7677918,1.39500189
1062,-81.859972,41.361824,307.5607605,8.22307873
1063,-81.543503,41.378448,127.327919,5.31124592
1064,-81.427328,41.414376,3.60320282,5.65380383
1065,-81.419547,41.570361,29.02283096,2.27087474
1066,-81.725054,41.21202,58.80152512,7.17969799
1067,-81.847214,41.344676,57.09788513,0.91407967
1068,-81.540837,41.386987,69.7688446,29.69482231
1069,-81.691722,41.2536,178.9471588,7.74609184
1070,-81.968463,41.410397,351.861908,0.34340689
1071,-81.794015,41.312445,322.823761,3.3191855
1072,-81.690991,41.391773,134.7264404,3.56250238
1073,-81.702299,41.227164,219.9771576,19.35984421
1074,-81.879049,41.398419,298.8727417,16.51233292
1075,-81.483164,41.38273,318.3953857,3.20539212
1076,-81.420673,41.56742,33.07229233,2.20039248
1077,-81.756092,41.305055,111.5279999,7.77712631
1078,-81.828904,41.367891,187.067749,2.0174582
1079,-81.561906,41.377819,348.1678772,7.94865131
1080,-81.410127,41.44185,166.2612915,1.01599169
1081,-81.430298,41.573986,351.475769,4.89368343
1082,-81.701213,41.20865,230.6762848,19.30653381
1083,-81.805737,41.299497,106.574646,1.22099614
1084,-81.663846,41.45715,11.44355011,1.00212383
1085,-81.719034,41.227096,113.1961823,0.54556543
1086,-81.825147,41.469705,316.2246704,1.47446918
1087,-81.774021,41.299579,8.40091705,31.58884811
1088,-81.734462,41.447031,255.7366638,1.79360664
1089,-81.60778,41.31172,326.8498535,15.78569412
1090,-81.890888,41.403929,188.8034821,22.77604103
1091,-81.504577,41.379929,0.41174316,2.63167191
1092,-81.426773,41.558291,220.782608,2.51705194
1093,-81.581586,41.289925,50.93265152,6.32875252
1094,-81.831779,41.439099,331.7758484,34.07410049
1095,-81.576527,41.375527,192.6369782,1.03768241
1096,-81.405656,41.41872,111.164032,24.99654961
1097,-81.430829,41.578334,74.60594177,5.76737118
1098,-81.696414,41.203915,22.85571289,7.48073149
1099,-81.817412,41.3176,325.6116333,11.92279625
1100,-81.438056,41.561677,125.0410919,2.56501746
1101,-81.698639,41.219148,213.7793884,2.39404154
1102,-81.830687,41.466159,202.6269226,20.18808174
1103,-81.78209,41.295486,53.64017868,1.34204865
1104,-81.409267,41.532513,89.52601624,0.64063781
1105,-81.599444,41.304382,288.5775757,1.85456967
1106,-81.845371,41.442501,120.1005096,0.16221476
1107,-81.580027,41.352838,187.0222778,7.57471418
1108,-81.406923,41.452514,143.8101807,0.89913046
1109,-81.591462,41.331001,155.7505188,3.44329286
1110,-81.871827,41.390925,310.8778076,0.34850773
1111,-81.554178,41.36947,292.5372315,8.40083408
1112,-81.420205,41.419258,17.46855164,6.4804554
1114,-81.946574,41.414094,351.3501282,0.47292376
1115,-81.811149,41.320694,106.2297516,22.9425087
1116,-81.665845,41.43122,265.3650513,0.20654124
1117,-81.700322,41.215263,238.1682739,5.49610567
1119,-81.460863,41.413453,247.1403961,5.83237267
1122,-81.832534,41.354872,82.71565247,4.45648146
1123,-81.570138,41.354648,286.0140076,1.52845216
1124,-81.41724,41.434678,284.0359192,1.34642434
1125,-81.594437,41.314205,299.8761902,14.01238823
1126,-81.836654,41.35069,340.3809509,2.10937572
1127,-81.551989,41.383693,350.7142334,29.55927658
1128,-81.434187,41.414085,4.61325836,13.0702858
1129,-81.426315,41.576058,332.7937012,4.43388081
1131,-81.837111,41.335118,350.7067566,36.56192017
1132,-81.54103,41.388827,217.8308716,4.13008738
1133,-81.722139,41.219697,175.6021118,1.86684573
1134,-81.958727,41.422753,303.3110352,4.84283066
1135,-81.793793,41.307947,245.6794128,3.19960141
1136,-81.692377,41.384695,240.4007111,14.12129307
1138,-81.887976,41.394763,356.1272888,0.92399478
1140,-81.42403,41.556543,93.81434631,3.90533733
1141,-81.577506,41.289386,28.87722397,1.49905241
1143,-81.570106,41.379904,4.92836761,7.32903814
1144,-81.401536,41.439769,286.9615479,21.89283752
