plot,year,groundcover.type,groundcover.mn
1002,2010,bareground,2
1002,2010,litter,38.75
1003,2010,bareground,0.005
1003,2010,litter,73.75
1004,2010,bareground,1.125
1004,2010,litter,6.125
1005,2010,bareground,7.5
1005,2010,litter,73.75
1006,2010,bareground,0
1006,2010,litter,50.625
1008,2010,bareground,30.25
1008,2010,litter,61.875
1009,2010,bareground,0.125
1009,2010,litter,0.5
1010,2010,bareground,0.0075
1010,2010,litter,19.75
1012,2010,bareground,0
1012,2010,litter,5.5
1013,2010,bareground,0.505
1013,2010,litter,13
1014,2010,bareground,0.75
1014,2010,litter,0.375
1015,2010,bareground,0
1015,2010,litter,97
1017,2010,bareground,0
1017,2010,litter,0
1018,2010,bareground,0.375
1018,2010,litter,1.6275
1019,2010,bareground,13
1019,2010,litter,60
1021,2010,bareground,1.125
1021,2010,litter,1.25
1022,2010,bareground,0.01
1022,2010,litter,91
1024,2010,bareground,1.3775
1024,2010,litter,30.375
1025,2010,bareground,0
1025,2010,litter,91
1026,2010,bareground,0
1026,2010,litter,97
1028,2010,bareground,7.125
1028,2010,litter,68.125
1030,2010,bareground,27.5
1030,2010,litter,50
1031,2010,bareground,2.125
1031,2010,litter,62.5
1033,2010,bareground,0.0025
1033,2010,litter,6.5
1034,2010,bareground,0.0025
1034,2010,litter,0.0025
1035,2010,bareground,0.255
1035,2010,litter,79.375
1038,2010,bareground,11
1038,2010,litter,88
1039,2010,bareground,0
1039,2010,litter,0
1040,2010,bareground,10.75
1040,2010,litter,9
1041,2010,bareground,3.75
1041,2010,litter,56.25
1043,2010,bareground,0
1043,2010,litter,0.25
1044,2010,bareground,0.5025
1044,2010,litter,94
1045,2010,bareground,0.125
1045,2010,litter,73.125
1047,2010,bareground,0.375
1047,2010,litter,85
1048,2010,bareground,0
1048,2010,litter,15
1050,2010,bareground,10.625
1050,2010,litter,73.75
1051,2010,bareground,0
1051,2010,litter,85
1052,2010,bareground,0.0025
1052,2010,litter,1.6275
1053,2010,bareground,0.0025
1053,2010,litter,0.01
1054,2010,bareground,0.0075
1054,2010,litter,0.2525
1055,2010,bareground,0.0025
1055,2010,litter,6.6275
1057,2010,bareground,0.5
1057,2010,litter,43.75
1058,2010,bareground,9.3775
1058,2010,litter,8.125
1060,2010,bareground,0.125
1060,2010,litter,85
1061,2010,bareground,0
1061,2010,litter,85
1064,2010,bareground,1
1064,2010,litter,97
1065,2010,bareground,0
1065,2010,litter,0
1066,2010,bareground,0.125
1066,2010,litter,14
1067,2010,bareground,5.75
1067,2010,litter,22.5
1068,2010,bareground,0
1068,2010,litter,62.5
1069,2010,bareground,0
1069,2010,litter,0
1070,2010,bareground,0.0025
1070,2010,litter,45
