plot,year,OM,P1,P2,Bic,K,Mg,Ca,pH,CEC,K.sat,Mg.sat,Ca.sat,H.sat,C.tot,N.tot,C:N,tex5,tex20
1002,2010,3.8,6,9,NA,96,149,950,5.6,8.1,3,15.3,58.6,23.1,2.35,0.15,15.7,1,1
1003,2010,4.9,4,5,NA,69,74,392,4.6,6,2.9,10.3,32.7,54.1,3.02,0.18,17.2,2,2
1004,2010,4.4,9,13,NA,77,130,1250,5.7,9.5,2.1,11.4,65.8,20.7,3.47,0.18,19.4,1,1
1005,2010,5.3,5,9,NA,75,208,2003,6.2,13.5,1.4,12.8,74.2,11.6,3.76,0.22,17.2,1,1
1006,2010,8.2,8,9,NA,82,63,284,4.4,5.7,3.7,9.2,24.9,62.2,5.75,0.29,20.1,2,2
1008,2010,5,2,3,NA,81,100,411,4.7,6.3,3.3,13.2,32.6,50.9,3.82,0.22,17.4,1,2
1009,2010,3.3,7,31,8,93,248,1724,7.1,10.9,2.2,19,78.8,NA,2.38,0.16,15.3,1,1
1010,2010,4.4,4,14,NA,81,94,682,4.5,10.5,2,7.5,32.5,58,3.66,0.22,16.7,1,1
1012,2010,7,4,5,NA,103,94,454,4.4,8.7,3,9,26.1,61.9,5.84,0.34,17.2,1,1
1013,2010,5.3,5,7,NA,86,126,784,5.1,8.4,2.6,12.5,46.7,38.2,3.32,0.17,19.3,1,1
1014,2010,3.6,6,15,NA,100,92,723,4.7,9.3,2.8,8.2,38.9,50.1,2.77,0.18,15.1,1,1
1015,2010,3.2,3,5,NA,65,82,443,4.5,7.3,2.3,9.4,30.3,58,2.22,0.13,17.6,1,1
1017,2010,6.8,3,6,NA,55,171,734,5.3,7.6,1.9,18.8,48.3,31,4.63,0.19,24.5,1,1
1018,2010,7.4,8,23,NA,91,168,2491,7,14.1,1.7,9.9,88.4,NA,5.78,0.3,19.5,1,1
1019,2010,8.2,3,7,NA,161,238,1206,5.3,12.2,3.4,16.3,49.4,30.9,5.27,0.3,17.4,1,1
