SPCODE,taxa,genus,species,variety,tolerance,native,family,hydrophyte,form,habit,group,shade,clemet.tier,odnr.class,ohio.noxious,clemet.priority
ACARHO,Acalypha_rhomboidea,Acalypha,rhomboidea,NA,tolerant,native,Euphorbiaceae,upland,forb,AN,DI,partial,NA,NA,NA,NA
ACENEG,Acer_negundo,Acer,negundo,NA,midrange,native,Aceraceae,FAC,tree,W,DI,tree,NA,NA,NA,NA
ACENIG,Acer_nigrum,Acer,nigrum,NA,midrange,native,Aceraceae,upland,tree,W,DI,tree,NA,NA,NA,NA
ACEPLA,Acer_platanoides,Acer,platanoides,NA,tolerant,adventive,Aceraceae,upland,tree,W,DI,advent,2,NA,FALSE,TRUE
ACERUB,Acer_rubrum,Acer,rubrum,NA,tolerant,native,Aceraceae,FAC,tree,W,DI,tree,NA,NA,NA,NA
ACESAC,Acer_saccharinum,Acer,saccharinum,NA,midrange,native,Aceraceae,hydrophyte,tree,W,DI,tree,NA,NA,NA,NA
ACESAR,Acer_saccharum,Acer,saccharum,NA,midrange,native,Aceraceae,upland,tree,W,DI,tree,NA,NA,NA,NA
ACTALB,Actaea_alba,Actaea,alba,NA,sensitive,native,Ranunculaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
ADIPED,Adiantum_pedatum,Adiantum,pedatum,NA,sensitive,native,Pteridaceae,FAC,fern,PE,SVP,shade,NA,NA,NA,NA
AEGPOD,Aegopodium_podagraria,Aegopodium,podagraria,NA,tolerant,adventive,Apiaceae,upland,forb,PE,DI,advent,2,NA,FALSE,FALSE
AESGLA,Aesculus_glabra,Aesculus,glabra,NA,sensitive,native,Hippocastanaceae,upland,tree,W,DI,tree,NA,NA,NA,NA
AESHIP,Aesculus_hippocastanum,Aesculus,hippocastanum,NA,tolerant,adventive,Hippocastanaceae,upland,tree,W,DI,advent,NA,NA,FALSE,FALSE
AGRGRY,Agrimonia_gryposepala,Agrimonia,gryposepala,NA,midrange,native,Rosaceae,upland,forb,PE,DI,partial,NA,NA,NA,NA
AGRPAR,Agrimonia_parviflora,Agrimonia,parviflora,NA,tolerant,native,Rosaceae,FAC,forb,PE,DI,shade,NA,NA,NA,NA
AGRPUB,Agrimonia_pubescens,Agrimonia,pubescens,NA,midrange,native,Rosaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
AGRSTR,Agrimonia_striata,Agrimonia,striata,NA,sensitive,native,Rosaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
AGRGIG,Agrostis_gigantea,Agrostis,gigantea,NA,tolerant,adventive,Poaceae,advent,grass,PE,MO,advent,NA,NA,FALSE,FALSE
AGRPER,Agrostis_perennans,Agrostis,perennans,NA,midrange,native,Poaceae,upland,grass,PE,MO,partial,NA,NA,NA,NA
AILALT,Ailanthus_altissima,Ailanthus,altissima,NA,tolerant,adventive,Simaroubaceae,upland,tree,W,DI,advent,2,established,FALSE,FALSE
AJUREP,Ajuga_reptans,Ajuga,reptans,NA,tolerant,adventive,Lamiaceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
ALISUB,Alisma_subcordatum,Alisma,subcordatum,NA,tolerant,native,Alismataceae,hydrophyte,forb,PE,MO,full,NA,NA,NA,NA
ALLPET,Alliaria_petiolata,Alliaria,petiolata,NA,tolerant,adventive,Brassicaceae,upland,forb,BI,DI,advent,4,targeted,FALSE,TRUE
ALLCAN,Allium_canadense,Allium,canadense,NA,tolerant,native,Liliaceae,upland,forb,PE,MO,full,NA,NA,NA,NA
ALLTRI,Allium_tricoccum,Allium,tricoccum,NA,midrange,native,Liliaceae,upland,forb,PE,MO,shade,NA,NA,NA,NA
ALNINC,Alnus_incana,Alnus,incana,NA,sensitive,native,Betulaceae,hydrophyte,shrub,W,DI,full,NA,NA,NA,NA
AMBART,Ambrosia_artemisiifolia,Ambrosia,artemisiifolia,NA,tolerant,native,Asteraceae,upland,forb,AN,DI,full,NA,NA,NA,NA
AMELAN,Amelanchier_sp,Amelanchier,sp,NA,NA,native,Rosaceae,NA,sm.tree,W,DI,shade,NA,NA,NA,NA
AMPBRE,Ampelopsis_brevipedunculata,Ampelopsis,brevipedunculata,NA,tolerant,adventive,Vitaceae,upland,vine,W,DI,advent,NA,watchlist,FALSE,FALSE
AMPBRA,Amphicarpaea_bracteata,Amphicarpaea,bracteata,NA,midrange,native,Fabaceae,FAC,forb,PE,DI,shade,NA,NA,NA,NA
ANEQUI,Anemone_quinquefolia,Anemone,quinquefolia,NA,midrange,native,Ranunculaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
ANETHA,Anemonella_thalictroides,Anemonella,thalictroides,NA,sensitive,native,Ranunculaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
ANGATR,Angelica_atropurpurea,Angelica,atropurpurea,NA,sensitive,native,Apiaceae,hydrophyte,forb,PE,DI,partial,NA,NA,NA,NA
ANTODO,Anthoxanthum_odoratum,Anthoxanthum,odoratum,NA,tolerant,adventive,Poaceae,upland,grass,PE,MO,advent,NA,NA,FALSE,FALSE
APIAME,Apios_americana,Apios,americana,NA,midrange,native,Fabaceae,hydrophyte,forb,PE,DI,partial,NA,NA,NA,NA
APOCAN,Apocynum_cannabinum,Apocynum,cannabinum,NA,tolerant,native,Apocynaceae,upland,forb,PE,DI,full,NA,NA,NA,NA
ARALAE,Arabis_laevigata,Arabis,laevigata,NA,midrange,native,Brassicaceae,upland,forb,BI,DI,shade,NA,NA,NA,NA
ARARAC,Aralia_racemosa,Aralia,racemosa,NA,midrange,native,Araliaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
ARCLAP,Arctium_lappa,Arctium,lappa,NA,tolerant,adventive,Asteraceae,upland,forb,BI,DI,advent,NA,NA,FALSE,FALSE
ARIDRA,Arisaema_dracontium,Arisaema,dracontium,NA,midrange,native,Araceae,hydrophyte,forb,PE,MO,shade,NA,NA,NA,NA
ARITRIT,Arisaema_triphyllum,Arisaema,triphyllum,triphyllum,midrange,native,Araceae,upland,forb,PE,MO,shade,NA,NA,NA,NA
ARTVUL,Artemisia_vulgaris,Artemisia,vulgaris,NA,tolerant,adventive,Asteraceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
ASACAN,Asarum_canadense,Asarum,canadense,NA,sensitive,native,Aristolochiaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
ASITRI,Asimina_triloba,Asimina,triloba,NA,sensitive,native,Annonaceae,upland,sm.tree,W,DI,shade,NA,NA,NA,NA
ASPPLA,Asplenium_platyneuron,Asplenium,platyneuron,NA,midrange,native,Aspleniaceae,upland,fern,PE,SVP,shade,NA,NA,NA,NA
ASTCOR,Aster_cordifolius,Aster,cordifolius,NA,midrange,native,Asteraceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
ASTLAT,Aster_lateriflorus,Aster,lateriflorus,NA,tolerant,native,Asteraceae,hydrophyte,forb,PE,DI,shade,NA,NA,NA,NA
ASTMAC,Aster_macrophyllus,Aster,macrophyllus,NA,midrange,native,Asteraceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
ASTUMB,Aster_umbellatus,Aster,umbellatus,NA,midrange,native,Asteraceae,hydrophyte,forb,PE,DI,partial,NA,NA,NA,NA
ATHFEL,Athyrium_filix-femina,Athyrium,filix-femina,NA,midrange,native,Dryopteridaceae,FAC,fern,PE,SVP,shade,NA,NA,NA,NA
ATHTHE,Athyrium_thelypteroides,Athyrium,thelypteroides,NA,sensitive,native,Dryopteridaceae,FAC,fern,PE,SVP,shade,NA,NA,NA,NA
BARVUL,Barbarea_vulgaris,Barbarea,vulgaris,NA,tolerant,adventive,Brassicaceae,upland,forb,BI,DI,advent,NA,NA,FALSE,FALSE
BERTHU,Berberis_thunbergii,Berberis,thunbergii,NA,tolerant,adventive,Berberidaceae,upland,shrub,W,DI,advent,2,established,FALSE,TRUE
